,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
3328,USHL,12181/nick-oslund,F,2007,19.833333,56,7,14,21,0.375,1,1,56,1,0,DY+1,R,Yes,0.0,0,0
3329,USHL,12182/andrew-sackrison,F,2007,19.841667,59,12,15,27,0.45762700000000006,1,1,59,1,0,DY+1,L,Yes,0.0,0,0
3330,USHL,12183/jesse-martin,F,2007,19.022222,59,19,37,56,0.949153,1,1,59,1,0,DY+1,R,Yes,0.0,0,0
3333,USHL,12184/tristin-llewellyn,D,2007,18.369444,53,3,16,19,0.358491,3,3,142,0,1,DY,L,No,0.0,0,0
3334,USHL,121841/kevin-roy,F,2012,19.319444,59,54,50,104,1.7627119999999998,1,1,59,1,0,DY+1,L,Yes,0.25,28,1
3335,USHL,121842/matt-caito,D,2012,19.088889,59,7,19,26,0.44067799999999996,1,1,59,1,0,DY+1,R,No,0.0,0,0
3336,USHL,121843/johnny-wingels,D,2013,19.619444,24,0,7,7,0.291667,1,1,24,1,0,DY+1,R,No,0.0,0,0
3337,USHL,12185/brett-wysopal,D,2007,19.016667,57,5,16,21,0.368421,1,1,57,1,0,DY+1,L,No,0.0,0,0
3340,USHL,121852/adam-johnson,F,2015,21.230556,59,31,40,71,1.20339,3,2,121,0,0,DY+3,L,No,0.0,0,0
3342,USHL,121855/alexander-dahl,F,2013,20.55,64,11,13,24,0.375,2,2,123,0,0,DY+2,L,No,0.0,0,0
3343,USHL,121856/nick-nielsen,F,2012,20.088889,23,5,3,8,0.347826,1,1,23,1,0,DY+2,R,No,0.0,0,0
3345,USHL,121857/sam-anas,F,2013,20.288889,64,37,26,63,0.984375,2,2,115,0,0,DY+2,R,No,0.0,0,0
3346,USHL,121858/bob-kinne,F,2012,20.333333,39,6,2,8,0.20512800000000003,1,1,39,1,0,DY+2,R,No,0.0,0,0
3348,USHL,121859/alex-iafallo,F,2013,19.733333,50,20,23,43,0.86,2,2,108,0,0,DY+1,L,No,0.0,0,0
3351,USHL,121860/ed-mcgovern,D,2014,21.308332999999998,60,8,17,25,0.416667,3,3,183,0,1,DY+3,L,No,0.0,0,0
3352,USHL,121861/greg-gozzo,F,2012,20.172222,56,21,28,49,0.875,1,1,56,1,0,DY+2,L,No,0.0,0,0
3354,USHL,121863/austin-ortega,F,2013,19.425,66,34,26,60,0.909091,2,2,125,0,0,DY+1,R,No,0.0,0,0
3356,USHL,121864/daniel-kucerovy,F,2014,20.644444,20,0,2,2,0.1,2,2,57,0,0,DY+2,R,No,0.0,0,0
3357,USHL,121866/ryan-cole,F,2012,20.155556,22,2,4,6,0.272727,1,1,22,1,0,DY+2,L,No,0.0,0,0
3358,USHL,121867/mark-naclerio,F,2012,20.447222,50,14,28,42,0.84,1,1,50,1,0,DY+2,L,No,0.0,0,0
3359,USHL,121868/drew-newmeyer,D,2013,19.5,58,5,10,15,0.258621,1,1,58,1,0,DY+1,L,No,0.0,0,0
3361,USHL,12187/corey-tropp,F,2007,18.138889000000002,54,26,36,62,1.148148,2,2,100,0,0,DY,R,Yes,0.18120799999999998,149,1
3363,USHL,121870/riley-bourbonnais,F,2013,20.102778,63,25,24,49,0.777778,2,2,116,0,0,DY+2,L,No,0.0,0,0
3366,USHL,121871/jake-montgomery,F,2015,21.269444,23,2,4,6,0.26087,3,3,137,0,1,DY+3,L,No,0.0,0,0
3367,USHL,121873/ryan-fraser-lee,D,2012,19.619444,40,0,5,5,0.125,1,1,40,1,0,DY+1,R,No,0.0,0,0
3368,USHL,121876/kevin-schulze,D,2012,19.394444,58,2,26,28,0.482759,1,1,58,1,0,DY+1,L,No,0.0,0,0
3370,USHL,121877/josh-mcardle,D,2013,19.352778,19,0,3,3,0.157895,2,0,64,0,0,DY+1,R,No,0.0,0,0
3371,USHL,121878/nolan-valleau,D,2013,20.833333,64,8,18,26,0.40625,1,1,64,1,0,DY+2,L,No,0.0,0,0
3372,USHL,121879/tyler-vesel,F,2014,20.419444,49,33,38,71,1.44898,1,1,49,1,0,DY+2,R,Yes,0.0,0,0
3373,USHL,12188/brad-malone,F,2007,18.319444,57,14,19,33,0.578947,1,1,57,1,0,DY,L,Yes,0.150754,199,1
3374,USHL,121880/kevin-morris,F,2012,19.775,50,8,11,19,0.38,1,1,50,1,0,DY+1,L,No,0.0,0,0
3376,USHL,121881/tim-bonner,F,2013,21.072222,47,18,24,42,0.893617,2,2,105,0,0,DY+3,L,No,0.0,0,0
3378,USHL,12189/zach-redmond,D,2007,19.136111,60,8,31,39,0.65,2,2,108,0,0,DY+1,R,Yes,0.28571399999999997,133,1
3380,USHL,121893/landon-smith,F,2013,19.908333,49,13,6,19,0.387755,2,2,104,0,0,DY+1,L,No,0.0,0,0
3383,USHL,121905/taylor-fleming,D,2013,20.577778,63,12,18,30,0.47618999999999995,2,2,118,0,0,DY+2,R,No,0.0,0,0
3385,USHL,121906/eric-sweetman,D,2013,19.638889000000002,63,7,11,18,0.28571399999999997,2,2,123,0,0,DY+1,L,No,0.0,0,0
3386,USHL,121907/michael-kapla,D,2013,18.988889,51,9,16,25,0.490196,1,1,51,1,0,DY,L,No,0.0,0,0
3387,USHL,121908/logan-smith,F,2012,19.844444,37,3,9,12,0.324324,1,1,37,1,0,DY+1,R,No,0.0,0,0
3392,USHL,12191/sergei-kolosov,D,2007,21.313889,51,1,10,11,0.21568600000000002,2,2,101,0,0,DY+3,L,Yes,0.0,0,0
3393,USHL,121910/drew-brevig,D,2012,20.391667,54,0,6,6,0.11111099999999999,1,1,54,1,0,DY+2,R,No,0.0,0,0
3395,USHL,121912/matt-gaudreau,F,2013,18.777778,54,7,11,18,0.333333,2,2,106,0,0,DY,L,No,0.0,0,0
3397,USHL,12192/kevin-wehrs,D,2007,19.438889,57,8,32,40,0.701754,2,2,107,0,0,DY+1,L,No,0.0,0,0
3398,USHL,121929/eli-may,D,2013,19.997222,37,1,6,7,0.18918900000000002,1,1,37,1,0,DY+1,L,No,0.0,0,0
3399,USHL,12193/tomi-stahlhammar,F,2007,19.516667,31,1,1,2,0.06451599999999999,1,1,31,1,0,DY+1,L,No,0.0,0,0
3403,USHL,121931/tanner-karty,F,2015,21.058332999999998,59,24,19,43,0.7288140000000001,4,4,200,0,1,DY+3,R,No,0.0,0,0
3407,USHL,121932/josh-nenadal,F,2015,21.336111,53,8,12,20,0.37735799999999997,4,4,188,0,1,DY+3,R,No,0.0,0,0
3409,USHL,121933/dave-gust,F,2013,19.566667000000002,64,21,28,49,0.765625,2,2,107,0,0,DY+1,R,No,0.0,0,0
3411,USHL,121934/david-parrottino,F,2014,20.563889,56,9,23,32,0.571429,2,1,63,0,0,DY+2,L,No,0.0,0,0
3413,USHL,121935/ian-mansfield,F,2013,18.836111,48,3,8,11,0.229167,2,2,85,0,0,DY,L,No,0.0,0,0
3414,USHL,121936/danny-o-regan,F,2012,18.625,7,3,2,5,0.714286,1,0,7,1,0,DY,R,Yes,0.2,25,1
3415,USHL,121949/kyle-schempp,F,2013,19.672222,64,13,28,41,0.640625,1,1,64,1,0,DY+1,L,Yes,0.0,0,0
3416,USHL,121950/matthew-purmal,D,2014,20.302778,54,2,2,4,0.074074,1,1,54,1,0,DY+2,L,No,0.0,0,0
3418,USHL,121952/jeff-kubiak,F,2013,19.658333,55,8,10,18,0.327273,2,2,109,0,0,DY+1,L,No,0.0,0,0
3420,USHL,121953/chase-berger,F,2015,20.836111,58,10,18,28,0.482759,2,2,115,0,0,DY+2,L,No,0.0,0,0
3421,USHL,121955/duggie-lagrone,D,2012,18.227778,53,2,3,5,0.09434,1,1,53,1,0,DY,R,No,0.0,0,0
3427,USHL,121977/jason-stephanik,F,2014,20.322222,49,7,10,17,0.346939,1,1,49,1,0,DY+2,L,No,0.0,0,0
3428,USHL,121978/justin-woods,D,2013,19.591667,57,6,12,18,0.315789,1,1,57,1,0,DY+1,L,No,0.0,0,0
3438,USHL,121998/trevor-olson,F,2014,20.813889,21,9,12,21,1.0,2,2,84,0,0,DY+2,R,No,0.0,0,0
3440,USHL,122002/tyler-heinonen,F,2013,20.352778,65,23,25,48,0.738462,2,2,115,0,0,DY+2,L,No,0.0,0,0
3446,USHL,122004/dominic-toninato,F,2013,19.516667,64,29,41,70,1.09375,2,1,68,0,0,DY+1,L,Yes,0.076923,39,1
3447,USHL,122062/ryan-keller,F,2012,19.327778,34,6,3,9,0.264706,1,1,34,1,0,DY+1,L,No,0.0,0,0
