LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
WHL,11056/ryan-russell,F,2007,20.369444,58,30,46,76,1.310345,4,4,263,0,1,DY+2,L,Yes,0.048780000000000004,41,1
WHL,11057/zach-boychuk,F,2009,19.947222,43,28,29,57,1.325581,4,4,237,0,1,DY+1,L,Yes,0.23621999999999999,127,1
WHL,11058/mitch-fadden,F,2009,21.45,63,37,39,76,1.206349,5,5,338,0,1,DY+3,L,Yes,0.0,0,0
WHL,11059/riley-holzapfel,F,2008,20.075,49,18,22,40,0.816327,4,4,248,0,1,DY+2,L,Yes,0.0,0,0
WHL,11098/jordan-eberle,F,2010,20.333333,57,50,56,106,1.859649,4,4,254,0,1,DY+2,R,Yes,0.7177180000000001,666,1
WHL,11099/nick-ross,D,2009,20.597222,74,11,32,43,0.5810810000000001,4,4,278,0,1,DY+2,L,Yes,0.0,0,0
WHL,11100/colton-gillies,F,2008,19.591667,58,24,23,47,0.810345,4,3,195,0,1,DY+1,L,Yes,0.11688299999999999,154,1
WHL,11101/radek-meidl,F,2008,19.805556,26,8,8,16,0.6153850000000001,2,2,98,0,0,DY+1,L,No,0.0,0,0
WHL,11102/mitch-wahl,F,2010,20.647222,72,30,66,96,1.333333,4,4,271,0,1,DY+2,R,Yes,0.0,0,0
WHL,11103/ondrej-roman,F,2009,20.602778,32,10,22,32,1.0,3,3,174,0,1,DY+2,L,Yes,0.0,0,0
WHL,11104/milan-lucic,F,2007,19.272222,70,30,38,68,0.9714290000000001,2,2,132,0,0,DY+1,L,Yes,0.562921,890,1
WHL,111211/gary-sylvester,F,2005,19.513889000000002,58,4,4,8,0.14,2,2,97,0,0,DY+1,R,No,0.0,0,0
WHL,11175/jeremy-williams,F,2004,20.636111,68,52,49,101,1.4852940000000001,3,3,172,0,1,DY+2,R,Yes,0.34375,32,1
WHL,112235/stefan-sarka,F,2003,18.161111,49,3,4,7,0.14,1,1,49,1,0,DY,-,No,0.0,0,0
WHL,11262/graham-potuer,D,2009,21.575,69,9,16,25,0.362319,5,5,275,0,1,DY+3,R,No,0.0,0,0
WHL,11307/david-svagrovsky,F,2004,19.733333,52,6,11,17,0.326923,2,2,120,0,0,DY+1,R,Yes,0.0,0,0
WHL,11308/max-gordichuk,D,2007,21.627778,70,5,21,26,0.371429,4,4,265,0,1,DY+3,R,Yes,0.0,0,0
WHL,113274/carl-ericson,F,2016,20.011111,3,1,1,2,0.67,1,0,3,1,0,DY+2,L,No,0.0,0,0
WHL,11344/kaspars-saulietis,F,2007,20.258333,59,19,15,34,0.576271,2,1,69,0,0,DY+2,R,No,0.0,0,0
WHL,1135/justin-kelly,F,2002,21.494444,72,39,47,86,1.194444,5,5,271,0,1,DY+3,R,No,0.0,0,0
WHL,11361/clayton-stoner,D,2005,20.572222,60,12,34,46,0.766667,3,3,189,0,1,DY+2,L,Yes,0.13333299999999998,360,1
WHL,11390/eric-doyle,D,2010,21.444444,56,6,31,37,0.660714,5,5,303,0,1,DY+3,R,No,0.0,0,0
WHL,11398/john-negrin,D,2009,20.472222,63,8,41,49,0.777778,4,4,233,0,1,DY+2,L,Yes,0.333333,3,1
WHL,11400/luke-schenn,D,2008,18.869444,57,7,21,28,0.491228,3,3,189,0,1,DY,R,Yes,0.197548,734,1
WHL,11407/denis-tolpeko,F,2006,21.627778,53,20,31,51,0.9622639999999999,3,3,179,0,1,DY+3,L,No,0.0,0,0
WHL,11452/brodie-dupont,F,2007,20.577778,70,37,33,70,1.0,3,3,212,0,1,DY+2,L,Yes,0.0,1,1
WHL,11472/matthew-spiller,D,2003,20.605556,68,11,24,35,0.514706,4,4,271,0,1,DY+2,L,Yes,0.029412,68,1
WHL,11473/randall-gelech,F,2004,20.619444,71,30,19,49,0.690141,4,4,237,0,1,DY+2,R,Yes,0.0,0,0
WHL,11474/logan-stephenson,D,2006,20.572222,71,10,43,53,0.746479,4,4,249,0,1,DY+2,L,Yes,0.0,0,0
WHL,11478/tyler-redenbach,F,2005,20.972222,65,19,44,63,0.969231,4,4,261,0,1,DY+2,L,Yes,0.0,0,0
WHL,11490/owen-fussey,F,2003,20.452778,66,41,30,71,1.075758,4,4,237,0,1,DY+2,L,Yes,0.25,4,1
WHL,11501/brad-schell,F,2004,20.111110999999998,71,35,57,92,1.295775,4,4,238,0,1,DY+2,L,Yes,0.0,0,0
WHL,11509/jason-jaffray,F,2002,21.208333,73,38,45,83,1.136986,4,4,271,0,1,DY+3,L,No,0.0,0,0
WHL,11511/mark-ardelan,D,2004,21.497222,72,19,54,73,1.013889,5,5,338,0,1,DY+3,L,No,0.0,0,0
WHL,11528/clayton-barthel,D,2007,21.452778,65,8,10,18,0.276923,5,5,327,0,1,DY+3,L,Yes,0.0,0,0
WHL,11534/tyler-spurgeon,F,2006,20.430556,39,7,17,24,0.6153850000000001,4,4,210,0,1,DY+2,L,Yes,0.0,0,0
WHL,11536/ryan-stone,F,2005,20.486110999999998,70,33,66,99,1.4142860000000002,4,4,239,0,1,DY+2,L,Yes,0.2,35,1
WHL,11539/jordan-henry,D,2007,21.594444,72,7,25,32,0.44444399999999995,4,4,270,0,1,DY+3,R,No,0.0,0,0
WHL,11542/sean-mcaslan,F,2001,21.675,51,21,32,53,1.039216,5,5,289,0,1,DY+3,R,No,0.0,0,0
WHL,11556/dean-arsene,D,2001,21.152778,68,1,10,11,0.16176500000000002,5,5,338,0,1,DY+3,L,No,0.0,0,0
WHL,11572/tyson-mulock,F,2003,20.652778,72,19,32,51,0.708333,4,4,259,0,1,DY+2,R,No,0.0,0,0
WHL,115724/mark-shefchyk,F,2005,20.375,24,5,8,13,0.541667,4,4,206,0,1,DY+2,L,No,0.0,0,0
WHL,115727/jon-barkman,F,2000,20.952778,62,23,33,56,0.903226,4,4,249,0,1,DY+2,R,No,0.0,0,0
WHL,11584/luke-fritshaw,D,2005,21.197222,72,8,33,41,0.569444,4,4,269,0,1,DY+3,-,Yes,0.0,0,0
WHL,11586/riley-emmerson,F,2006,20.605556,66,1,1,2,0.03,1,1,66,1,0,DY+2,L,Yes,0.0,0,0
WHL,11587/ben-thomson,F,2003,21.208333,66,40,35,75,1.136364,6,5,352,0,1,DY+3,R,No,0.0,0,0
WHL,11588/clinton-pettapiece,F,2006,19.561111,7,2,2,4,0.57,3,0,129,0,0,DY+1,L,No,0.0,0,0
WHL,11590/casey-pierro-zabotel,F,2009,20.852778,72,36,79,115,1.597222,2,2,121,0,0,DY+2,L,Yes,0.0,0,0
WHL,11593/wacey-rabbit,F,2007,20.830556,30,11,25,36,1.2,5,5,286,0,1,DY+2,L,Yes,0.0,0,0
WHL,11594/j.d.-watt,F,2008,21.305556,58,13,24,37,0.637931,5,4,255,0,1,DY+3,R,Yes,0.0,0,0
WHL,11595/a.j.-thelen,D,2007,21.511111,53,8,13,21,0.396226,2,2,125,0,0,DY+3,L,Yes,0.0,0,0
WHL,11596/tim-kraus,F,2008,21.566667000000002,65,15,46,61,0.9384620000000001,5,5,306,0,1,DY+3,R,No,0.0,0,0
WHL,11597/jonathon-blum,D,2009,20.625,51,16,50,66,1.294118,4,4,248,0,1,DY+2,R,Yes,0.21818200000000001,110,1
WHL,11598/mario-bliznak,F,2008,21.525,67,19,32,51,0.7611939999999999,3,3,183,0,1,DY+3,L,Yes,0.166667,6,1
WHL,11600/t.j.-fast,D,2008,21.036111,71,17,37,54,0.760563,2,2,97,0,0,DY+3,L,Yes,0.0,0,0
WHL,11601/aaron-boogaard,F,2007,21.094444,69,10,11,21,0.304348,5,5,273,0,1,DY+3,R,Yes,0.0,0,0
WHL,11603/kruise-reddick,F,2011,21.191667000000002,63,20,48,68,1.079365,5,5,315,0,1,DY+3,L,No,0.0,0,0
WHL,11604/tyler-schmidt,D,2011,21.422222,70,11,42,53,0.757143,5,5,320,0,1,DY+3,L,No,0.0,0,0
WHL,11605/roman-teslyuk,D,2007,21.65,32,8,9,17,0.53125,4,4,244,0,1,DY+3,R,Yes,0.0,0,0
WHL,11606/erik-felde,F,2008,20.711111,72,25,32,57,0.791667,3,3,204,0,1,DY+2,L,No,0.0,0,0
WHL,11607/joel-broda,F,2010,20.808332999999998,66,39,35,74,1.121212,5,5,328,0,1,DY+2,L,Yes,0.0,0,0
